time_1,time_2,claro_uem,nublado_uem,int_uem,claro_dindiza,nublado_dindiza,int_dindiza,claro_massangena,nublado_massangena,int_massangena,claro_pomene,nublado_pomene,int_pomene,claro_maravia,nublado_maravia,int_maravia,claro_nhangau,nublado_nhangau,int_nhangau,claro_nhapassa_1,nublado_nhapassa_1,int_nhapassa_1,claro_lugela_1,nublado_lugela_1,int_lugela_1,claro_chomba,nublado_chomba,int_chomba,claro_nanhupo_1,nublado-nanhupo_1,int_nanhupo_1,claro_massangulo_1,nublado_massangulo_1,int_massangulo_1
9:12:00,,,,0.22571284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:13:00,,,,0.2233517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:14:00,,,,0.749794926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:15:00,,,,1.059157023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:16:00,,,,1.042855909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:17:00,,,,1.025051812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:18:00,,,,1.030012446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:19:00,,,,1.03818541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:20:00,,,,1.036684153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:21:00,,,,1.036812733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:22:00,,,,1.040154746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:23:00,,,,1.035529978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:24:00,,,,1.032539093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:25:00,,,,1.054927543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:26:00,,,,0.980858807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:27:00,,,,1.044254151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:28:00,,,,0.287430491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:29:00,,,,1.051004072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:30:00,,,,1.043445097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:31:00,,,,1.034388165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:32:00,,,,1.036274004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:33:00,,,,1.04436642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:34:00,,,,1.046253217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:35:00,,,,1.055856023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:36:00,,,,1.046979099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:37:00,,,,1.036633097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:38:00,,,,1.03859514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:39:00,,,,1.037514752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:40:00,,,,1.027326606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:41:00,,,,1.041499017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:42:00,,,,1.046533726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:43:00,,,,1.044008757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:44:00,,,,1.059601953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:45:00,,,,1.085666176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:46:00,,,,0.81159318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:47:00,,,,1.038706522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:48:00,,,,0.3673424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:49:00,,,,0.835817517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:50:00,,,,1.065836663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:51:00,,,,1.159875129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:52:00,,,,1.149922584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:53:00,,,,1.15923179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:54:00,,,,0.7647702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:55:00,,,,0.410242631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:56:00,,,,1.134224231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:57:00,,,,1.120143538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:58:00,,,,1.08714602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9:59:00,,,,0.355809219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:00:00,,,,0.320163881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:01:00,,,,0.28176261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:02:00,,,,0.25221586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:03:00,,,,0.425325841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:04:00,,,,0.999174754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:05:00,,,,1.186057549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:06:00,,,,0.832845578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:07:00,,,,1.115569513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:08:00,,,,1.126411229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:09:00,,,,1.08716822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:10:00,,,,1.075217452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:11:00,,,,1.088985506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:12:00,,,,1.125490829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:13:00,,,,1.181774328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:14:00,,,,0.507633008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:15:00,,,,0.331243534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:16:00,,,,0.746172841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:17:00,,,,0.328734034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:18:00,,,,0.453562335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:19:00,,,,1.130677571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10:20:00,,,,0.359445739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
